Category,PTG,Attributes,combi,Close_Value
Arts & Crafts,"Fabrics, Yarn and Thread",Color Category,"Arts & CraftsFabrics, Yarn and ThreadColor Category",Beige$Black$Blue$Bronze$Brown$Clear$Gold$Gray$Green$Multi-color$Off-White$Orange$Pink$Purple$Red$Silver$White$Yellow
Arts & Crafts,"Fabrics, Yarn and Thread",Fabric Content,"Arts & CraftsFabrics, Yarn and ThreadFabric Content",100% Cashmere$100% Cotton$100% Linen$100% Polyester$100% Silk$100% Wool$Acrylic$AdiPRENE$Alpaca$Angora$Bamboo$Broadcloth$Brocade$Canvas$Cashmere Blend$Chamois$Chenille$Chiffon$Corduroy$Cotton$Cotton Blend$Crepe$Denim$Down$Down Alternative$EnviroGuard$Faux Leather$Feather$Flannel$Fleece$French Terry$Gabardine$Gel$Gingham$Gore-Tex$Hemp$Hemp Blend$Jersey$Jute$Lace$Lame$Latex$Leather$Linen Blend$Linsey-Woolsey$Merino Wool$Microfiber$Minky$Mohair$Muslin$Nitrile$Nylon$Olefin$Organdy$Organic Cotton$Organza$OrthoLite$Pashmina$Percale$Polyester Blend$Polyester Felt$Rayon$Rayon Blend$Sateen$Satin$Seersucker$Serge$Sherpa$Silk Blend$Spandex$Suede$Sunbrella$Synthetic$Synthetic Suede$Taffeta$Terrycloth$THERMOLITE®$Tricot$Tulle$Tweed$Twill$Ultrasuede$Velour$Velvet$Velveteen$Vicuña$Vinyl$Wool Blend$Wool Felt
Arts & Crafts,"Fabrics, Yarn and Thread",Fabric Purchase Form,"Arts & CraftsFabrics, Yarn and ThreadFabric Purchase Form",By the Bolt$By the Yard$Precut
Arts & Crafts,"Fabrics, Yarn and Thread",Features,"Arts & CraftsFabrics, Yarn and ThreadFeatures",Adjustable$Anti-Fatigue$Anti-Rebound Bar$Armless$Auto Shut-Off$Automatic$Back Support$Bass$Bassinet$Belted$Big Buttons$Blackout$Bottom Loading$Built-In Pump$Child Lock$Color-Changing$Color-Correcting$Color-Enhancing$Compression$Console$Convertible$Copper-Infused$Cord Rewind$Corded$Cordless$Crunchy$Cushioned$Customizable$Deep Pocket$Detachable$Die-Cast$Disposable$Double Stroller$Double-Sided$Drawer Included$Easy Clean$Easy Installation$Eco-Friendly$Edible$Elevated$Embroidered$Energy Efficient$Engraved$Expandable$External Lights$Flash Memory$Fluffy$Fogless$Fold Out$Folding$Framed$Frameless$Frayed Hem$Full Length Mirror$Gated$Glitter$Glow-In-The-Dark$Grooming Arm$Hand Crank Powered$Handheld$Heavyweight$Hinged$Illuminated$Infrared$Insulated$Interlocking$Internal Lights$Leaning$Lever$Lightweight$Lining$Lockable$Long Cord$Low Profile$Low Wattage$Massage$Mattress-in-a-Box$Medium Weight$Mirror$Moisture Wicking$No Rethread Harness$Noise-Canceling$Non-Slip Backing$Odor-Eliminating$Oil Diffuser$Oscillating$Patterned$Pause Button$Permanent$Personalizable$Pillowtop$Plug-In$Pre-Made$Printable$Programmable$Raised$Reclining$Remote Controlled$Removable$Removable Buckle$Reversible$Ride-On$Robotic$Safety Strap$Scented$Scheduled Operation$Security$Self-Watering$Shelves$Skid-Resistant$Sloped Ceiling Adaptable$Soft-Sided$Space-Saving$Stain-Resistant$Static Shielding$Storage$Swivel$Tablet Holder$Tabletop$Telescoping$Textured$Tiered$Tin Box$Top Loading$Training Wheels$Tufted$UV Light Sanitizer$Vehicle Powered$Walk-Behind$Walk-Through$Wall-Mountable$Washable$Water Resistant$Waterproof$Weighted$Wind-Resistant$With Charger$With Glow Light$With LED Lights$With Remote Control
Arts & Crafts,"Fabrics, Yarn and Thread",Gender,"Arts & CraftsFabrics, Yarn and ThreadGender",Female$Male$Unisex
Arts & Crafts,"Fabrics, Yarn and Thread",Material,"Arts & CraftsFabrics, Yarn and ThreadMaterial",ABS$Acacia$Acetate$Acrylic$Alder$Alloy$Aluminum$Bamboo$Beech$Birch$Black Oak$Boar Hair$Borosilicate Glass$Brass$Bronze$Burl$Canvas$Cardboard$Cast Aluminum$Cast Iron$Cedar$Ceramic$Cherry$Chrome$Clay$Coir$Composite$Concrete$Copper$Cork$Corrugated Cardboard$Cowhide$Crepe Paper$Crystal$Cypress$Ebony$Elastomer$Enamel$Engineered Stone$Eucalyptus$Extruded Polystyrene Foam$Fabric$Faux Leather$Faux Suede$Faux Wood$Fiberglass$Fir$Fluoroelastomer$Foam$Glass$Gold$Granite$Graphite$Gunmetal$Hair$Hardwood$Hemlock$Hickory$Iron$Janka$Jelly$Jute$Lacquer$Latex$Lava Rock$Leather$Limestone$Linoleum$Mahogany$Maple$Marble$Marupa$Medium Density Fiberboard$Medium Density Fiberboard$Melamine$Memory Foam$Metal$Nickel$Nitrile$Nylon$Oak$Pandanus$Paper$Patent Leather$Pergo$Pine$Plastic$Platinaire$Platinum$Polycarbonate$Polyester$Polyethylene$Polypropylene$Polyurethane$Poplar$Porcelain$Porcelain Enamel$Poster Paper$Pressure-Treated Lumber$PVC$Quartz$Rattan$Reclaimed Wood$Redwood$Resin$Resin Wicker$Rhodium$Rosewood$Rubber$Sandstone$Seagrass$Sheesham$Shellac$Silica Gel$Silicone$Silk$Silver$Slate$Soapstone$Spruce$Stainless Steel$Steel$Stone$Stoneware$Stump$Suede$Synthetic$Synthetic Wood$Teak$Terracotta$Terrazzo$Textile$Thai Oak$Thermoplastic Elastomer$Thermoplastic Polyurethane$Tile$Tin$Tissue Paper$Titanium$Tourmaline$Tungsten$Varnish$Vinyl$Walnut$White Oak$Wicker$Wood$Wood Composite$Wood Laminate$Wood Veneer$Wrought Iron
Arts & Crafts,"Fabrics, Yarn and Thread",Occasion,"Arts & CraftsFabrics, Yarn and ThreadOccasion",15th Birthday$16th Birthday$18th Birthday$1st Birthday$21st Birthday$30th Birthday$30th Wedding Anniversary$40th Birthday$50th Birthday$50th Wedding Anniversary$70th Birthday$90th Birthday$Adoption Shower$After Five$Afternoon$All Occasion$Anniversary$Anytime$April Fool's Day$Ash Wednesday$Australian Open$Baby Birth$Baby Shower$Bachelor Party$Bachelorette Party$Back-To-School$Ball$Baptism$Bastille Day$BCS Bowl$Birthday$Birthday Cake$Birthday Dinner$Bowl Games$Bridal Occasion$Bridal Party$Bridal Shower$Brunch$Business$Career$Casual$Chinese New Year$Christian Occasion$Christmas$Cinco de Mayo$Class$Club$Cocktail$College Graduation$College Reunion$Columbus Day$Company$Condolence$Congratulations$Cotton Bowl$Couples Shower$Daily Living$Dance Party$Date Night$Day of the Dead$Day To Night$Daytime$Debutante Ball$Dinner Party$Diwali$Dog Birthday$Dress Casual$Earth Day$Easter$Eid al-Fitr$Engagement$Euro Cup$Evening$Everyday$F1 Racing$Family$Farewell$Father's Day$Festival$First Communion$Formal Occasion$Fourth Of July$Funeral$Ganesh Chaturthi$Get Well$Going Out$Graduation$Groundhog Day$Halloween$Hanukkah$High Holidays$High School Dance$High School Graduation$High School Reunion$Hindu Holidays$Holi$Holiday$Homecoming$Honeymoon$Housewarming$International Women's Day$Islamic Holiday$Jewish Holidays$Joint Birthday$Junior Prom$Just Because$Just Married$Kwanzaa$Labor Day$Leisure$Lent$Luau$March Madness$Mardi Gras$Martin Luther King Day$Masters Tournament$Memorial Day$Mother's Day$Nascar$National Teacher Appreciation Day$Nativity$NBA Finals$New Years$Nightclub$Office$Oktoberfest$Olympic Games$Orange Bowl$Orthodox Christmas$Oscar Party$Palm Sunday$Party$Passover$PGA Championship$President's Day$Pride Day$Prom$Promise$Purim$Quinceneara$Racing$Ramadan$Rehearsal Dinner$Religious Occasion$Retirement$Reunion$Rose Bowl$Rosh Hashanah$Rugby World Cup$School Dance$School Occasion$Seasonal$Semi Formal$Senior Prom$Sleepover$Slumber Party$Special Occasion$Sporting Event$Spring Break$Spring Formal$Spring Training$St. Patrick's Day$Stanley Cup$Stock Car Racing$Street Racing$Sugar Bowl$Summer Olympics$Sympathy$Thank You$Thanksgiving$The British Open Championship$Training$Twin Baby Shower$U.S. Open Championship$Valentine's Day$Veteran's Day$Wedding$Wedding Reception$Wedding Rehearsal$Wedding Shower$Weekend$Wimbledon$Winter Olympics$Work$Work Party$World Cup$World Series$World Series Party$World Series Viewing Party$Yom Kippur
Arts & Crafts,"Fabrics, Yarn and Thread",Pattern,"Arts & CraftsFabrics, Yarn and ThreadPattern",Abstract$Airplane$Alphabet$Anaconda$Animal Print$Animation$Anime$Antique Print$Arabesque$Argyle$Army Camouflage$Art Deco$Art Nouveau$Artisan Print$Asian$Automobile$Baby$Bamboo$Barcode$Baseball$Basketball$Basketweave$Batik$Beach Pattern$Bear$Bear Paw$Bike$Bird$Bird Eye$Boat$Border Tartan$Botanical$Bow$Brick$Brocade$Brushstroke$Brushstroke-Inspired Print$Buffalo Check$Butterfly$Camouflage$Candy Stripe$Cat$Check$Checkerboard$Cheetah$Cherry Blossom$Chevron$Chicken$Chintz$Cobra$Coffee$Collage$Colorblock$Contemporary$Conversational$Coral$Crocodile Print$Crossbones$Crown$Dalmation$Damask$Dance$Desert Camouflage$Diamond$Dog$Dot-Print$Dotted Swiss$Double-Striped$Dragonfly$Eagle$Embroidery$Equestrian-Print$Ethnic$Exotic Print$Faux Grasscloth$Flag$Flame$Flamingo$Flecked$Fleur-de-Lis$Floral$Foliage$Food$Football$Fruit$Geometric$Geometric Shapes$Gingham Check$Giraffe$Glen Plaid$Glitter Ombre$Golf$Graffiti$Graph Check$Graphic Prints$Grasscloth$Grid$Guitar$Gymnastics$Harlequin$Hawaiian$Hawk$Heart$Heart-Shaped$Helicopter$Herati$Herringbone$Hockey$Honeycomb$Horizontal Stripe$Horse$Houndstooth$Hyacinth$Ikat$Insect$Ivy$Kerchief$Lace$Lace-Striped$Ladybug$Lattice$Latticework$Lemon$Leopard$Letter$Lizard$Logo$Madras$Medallion$Mini-Check$Monkey$Monster$Moon$Mosaic$Motif$Motorcycle$Movie$Multi Plaid$Naturalistic$Nautical$Novelty$Numbers$Ombre$Oriental$Ostrich$Outer Space$Owl$Paisley$Panamanian$Panda$Patchwork$Peace Sign$Peacock$Persian$Pin Check$Pin Stripes$Pinstripe$Pique Stripe$Plaid$Planet$Plangi$Polka Dot$Pop Art$Primitive Art$Printed$Python$Quotes$Rainbow$Reptile$Rocket$Rooster$Rugby$Scenic$Screen Print$Script$Scroll$Serpentine Stripe$Serpentine Stripes$Silhouette$Ski$Skull$Snake Print$Snowboard$Snowflake$Soccer$Solar System$Solid Print$Speckle$Sports$Squiggle$Star$Stone$String$Striped$Sun$Swirl$Tartan$Tattersall$Tennis$Text$Textures$Tie-Dye$Tiger$Toile$Tonal Grid$Tonal Plaid$Tonal Stripe$Tree Stump$Trefoil$Trellis$Tribal$Tritik$Tropical$Tulip$Tuxedo Stripe$Two-Tone$Vehicle$Vertical Stripe$Volleyball$Watercolor$Weaves$White Leopard$Windowpane$Wine$Wood$Wood-Grain$Wrestling$Zebra$Zebra Stripe$Zigzag
Arts & Crafts,"Fabrics, Yarn and Thread",Product Type,"Arts & CraftsFabrics, Yarn and ThreadProduct Type",Bobbins$Craft Pom Poms$Crochet Thread$Cross-Stitch Aida Cloth$Embroidery Floss$Fabric Interfacing$Fabric Stabilizers$Fashion Shoulder Pads$Precut Quilt Squares$Quilting Batting$Quilting Fabric Assortments$Sewing & Craft Elastic$Sewing & Craft Fabric$Sewing Bias Tape$Sewing Hem Tape$Sewing Patches & Appliques$Sewing Thread$Sewing Trim & Embellishments$Wool Roving$Yarn
Arts & Crafts,"Fabrics, Yarn and Thread",Retail Packaging,"Arts & CraftsFabrics, Yarn and ThreadRetail Packaging",Count$Pack$Pieces
Arts & Crafts,"Fabrics, Yarn and Thread",Sewing and Craft Fabric Type,"Arts & CraftsFabrics, Yarn and ThreadSewing and Craft Fabric Type",Apparel Fabric$Craft Fabric$Needlework Fabric$Novelty Fabric$Sewing & Craft Fabric$Stitchable Fabric
Arts & Crafts,"Fabrics, Yarn and Thread",Sewing Patch And Applique Type,"Arts & CraftsFabrics, Yarn and ThreadSewing Patch and Applique Type",Iron-On Applique$Iron-On Appliques$Iron-On Patch$Iron-On Patches$Sew-On Applique$Sew-On Appliques$Sew-On Patch$Sew-On Patches
Arts & Crafts,"Fabrics, Yarn and Thread",Sewing Trim and Embellishment Type,"Arts & CraftsFabrics, Yarn and ThreadSewing Trim and Embellishment Type",Beaded Trim$Chain Trim$Crocheted Trim$Embellishment$Fringe Trim$Fur Trim$Lace Trim
Arts & Crafts,"Fabrics, Yarn and Thread",Sports League,"Arts & CraftsFabrics, Yarn and ThreadSports League",AFL$ASA$AYSO$Babe Ruth$Blast Pro Series$Cal Ripken$Call of Duty World League$CFL$College$CONCACAF$Dixie Baseball$DreamHack$ELEAGUE$ESL$Esports$FACEIT$FEI$FIA$FIBA$FIFA$FINA$FISA$FIVB$High School$IAAF$IBSF$IBU$ICC$IGFA$IHL$IMCA$INDYCAR$Intel Extreme Masters$International Ocean Racing Federation$IOC$IPRA$IRB$ISF$ITF$ITU$Little League$LPGA$MiLB$MISL$MLB$MLS$Mountain Dew League$NASCAR$NBA$NCAA$NCATA$NFL$NHL$NIFL$NTRA$Overwatch League$PBA$PGA$Pony League$Premier League$Serie A$Tee-Ball$UCI$UFC$USA Archery$USAG$USARA$USBC$USTA$USYSA$WA$WBA$WBC$WBO$WCF$WNBA$WWE
Arts & Crafts,"Fabrics, Yarn and Thread",Sports Team,"Arts & CraftsFabrics, Yarn and ThreadSports Team",100 Thieves$Air Force Falcons$Akron Zips$Alabama A&M Bulldogs$Alabama Crimson Tide$Alabama State Hornets$Alabama State University Hornets$Alaska Anchorage Seawolves$Albuquerque Isotopes$Anaheim Ducks$Angelo State Rams$Appalachian State Mountaineers$Arizona Cardinals$Arizona Coyotes$Arizona Diamondbacks$Arizona State Sun Devils$Arizona Wildcats$Arkansas Razorbacks$Arkansas State Red Wolves$Arkansas-Pine Bluff Golden Lions$Army Black Knights$Arsenal$Aston Villa$Astralis$Atlanta Braves$Atlanta Dream$Atlanta Falcons$Atlanta Hawks$Atlanta Reign$Atlanta Thrashers$Atlanta United FC$Auburn Tigers$Austin Peay State Governors$Ball State Cardinals$Baltimore Orioles$Baltimore Ravens$Baylor Bears$Bemidji State Beavers$Boise State Broncos$Boston Bruins$Boston Celtics$Boston College Eagles$Boston Red Sox$Boston University Terriers$Boston Uprising$Bowling Green Falcons$Brigham Young Cougars$Brooklyn Nets$Buffalo Bills$Buffalo Bison$Buffalo Bisons$Buffalo Bulls$Buffalo Sabres$Butler Bulldogs$Calgary Flames$California Golden Bears$Carolina Hurricanes$Carolina Panthers$Central Connecticut Blue Devils$Central Michigan Chippewas$Central Missouri Mules$Charlotte 49ers$Charlotte Bobcats$Charlotte Hornets$Charlotte Knights$Chelsea$Chengdu Hunters$Chicago Bears$Chicago Blackhawks$Chicago Bulls$Chicago Cubs$Chicago Fire$Chicago Sky$Chicago State Cougars$Chicago White Sox$Chivas USA$Cincinnati Bearcats$Cincinnati Bengals$Cincinnati Reds$Citadel Bulldogs$Clemson Tigers$Cleveland Browns$Cleveland Cavaliers$Cleveland Indians$Cleveland State Vikings$CLG$Cloud9$Clutch Gaming$Coastal Carolina Chanticleers$Colgate Raiders$College of Charleston Cougars$Colorado Avalanche$Colorado Buffaloes$Colorado Rapids$Colorado Rockies$Colorado State Rams$Columbus Blue Jackets$Columbus Clippers$Columbus Crew SC$Connecticut Huskies$Connecticut Sun$Cornell Big Red$Creighton Bluejays$D.C. United$Dallas Cowboys$Dallas Fuel$Dallas Mavericks$Dallas Stars$Davidson Wildcats$Dayton Flyers$Delaware Fightin' Blue Hens$Denver Broncos$Denver Nuggets$DePaul Blue Demons$Detroit Lions$Detroit Pistons$Detroit Red Wings$Detroit Tigers$Drexel Dragons$Duke Blue Devils$Durham Bulls$East Carolina Pirates$Eastern Illinois Panthers$Eastern Kentucky Colonels$Eastern Michigan Eagles$Echo Fox$Edmonton Oilers$El Paso Chihuahuas$Emory Eagles$Emporia State Hornets$Epsilon$Everton$Evil Geniuses$Fairfield Stags$FaZe Clan$FC Barcelona$FC Cincinnati$FC Dallas$Ferris State Bulldogs$Flash Wolves$Florida A&M Rattlers$Florida Atlantic Owls$Florida Gators$Florida International Golden Panthers$Florida Mayhem$Florida Panthers$Florida State Seminoles$FlyQuest$Fnatic$Fordham University Rams$Fort Hays State Tigers$Framingham State Rams$Fresno Grizzlies$Fresno State Bulldogs$Fulham$G2 Esports$Gambit$George Mason Patriots$George Washington Colonials$Georgetown Hoyas$Georgia Bulldogs$Georgia Southern Eagles$Georgia State Panthers$Georgia Tech Yellow Jackets$Golden Guardians$Golden State Warriors$Gonzaga Bulldogs$Grambling State Tigers$Grand Valley State Lakers$Green Bay Packers$Guangzhou Charge$Gwinnett Stripers$Hangzhou Spark$Harvard Crimson$Hawaii Rainbow Warriors$Hofstra Pride$Houston Astros$Houston Cougars$Houston Dynamo$Houston Outlaws$Houston Rockets$Houston Texans$Idaho State Bengals$Idaho Vandals$Illinois Fighting Illini$Illinois State Redbirds$Indiana Fever$Indiana Hoosiers$Indiana Pacers$Indiana State Sycamores$Indianapolis Colts$Indianapolis Indians$Iowa Cubs$Iowa Hawkeyes$Iowa State Cyclones$Italy National Football Team$Jackson State Tigers$Jacksonville Jaguars$Jacksonville State Gamecocks$James Madison Dukes$Johns Hopkins Blue Jays$Juventus$Kansas City Chiefs$Kansas City Royals$Kansas Jayhawks$Kansas State Wildcats$Kennesaw State Owls$Kent State Golden Flashes$Kentucky Wildcats$LA Galaxy$La Salle Explorers$LAFC$Lamar Cardinals$Las Vegas 51s$LCS$Lehigh Mountain Hawks$Lehigh Valley IronPigs$Liberty Flames$Liverpool$London Spitfire$Long Beach State 49ers$Los Angeles Angels$Los Angeles Angels of Anaheim$Los Angeles Chargers$Los Angeles Clippers$Los Angeles Dodgers$Los Angeles Gladiators$Los Angeles Kings$Los Angeles Lakers$Los Angeles Rams$Los Angeles Sparks$Los Angeles Valiant$Louisiana Tech Bulldogs$Louisiana-Lafayette Ragin' Cajuns$Louisiana-Monroe Warhawks$Louisville Bats$Louisville Cardinals$LSU Tigers$Luminosity$Maine Black Bears$Manchester City$Manchester United$Marquette Golden Eagles$Marshall Thundering Herd$Maryland Terrapins$Massachusetts Minutemen$McNeese State Cowboys$Memphis Grizzlies$Memphis Redbirds$Memphis Tigers$Mexico National Football Team$Miami Dolphins$Miami Heat$Miami Hurricanes$Miami Marlins$Miami of Ohio Redhawks$MIBR$Michigan State Spartans$Michigan Wolverines$Middle Tennessee Blue Raiders$Milwaukee Brewers$Milwaukee Bucks$Minnesota Golden Gophers$Minnesota Lynx$Minnesota Timberwolves$Minnesota Twins$Minnesota United FC$Minnesota Vikings$Minnesota Wild$Minnesota-Duluth Bulldogs$Mississippi Rebels$Mississippi State Bulldogs$Missouri State Bears$Missouri Tigers$MIT Engineers$Montana Grizzlies$Montana State Bobcats$Montreal Canadiens$Montreal Expos$Montreal Impact$Morehead State Eagles$Mount Union Purple Raiders$Mousesports$Murray State Racers$Nashville Predators$Nashville Sounds$Natus Vincere$Navy Midshipmen$Nebraska Cornhuskers$Nevada Wolf Pack$New England Patriots$New England Revolution$New Hampshire Wildcats$New Jersey Devils$New Mexico Lobos$New Mexico State Aggies$New Orleans Baby Cakes$New Orleans Hornets$New Orleans Pelicans$New Orleans Privateers$New Orleans Saints$New York City FC$New York Excelsior$New York Giants$New York Islanders$New York Jets$New York Knicks$New York Liberty$New York Mets$New York Rangers$New York Red Bulls$New York Violets$New York Yankees$Newcastle United$Nicholls State Colonels$Ninjas in Pyjamas$Norfolk Tides$North$North Carolina A&T Aggies$North Carolina State Wolfpack$North Carolina Tar Heels$North Dakota State Bison$North Texas Mean Green$Northeastern Huskies$Northern Arizona Lumberjacks$Northern Illinois Huskies$Northern Iowa Panthers$Northern Michigan University Wildcats$Northern State Wolves$Northwest Missouri State Bearcats$Northwestern State Demons$Northwestern Wildcats$Norwich City$Notre Dame Fighting Irish$NRG$Oakland Athletics$Oakland Raiders$Ohio Bobcats$Ohio State Buckeyes$Oklahoma City Dodgers$Oklahoma City Thunder$Oklahoma Sooners$Oklahoma State Cowboys$Old Dominion Monarchs$Ole Miss Rebels$Omaha Storm Chasers$OpTic Gaming$Oregon Ducks$Oregon State Beavers$Orlando City SC$Orlando Magic$Ottawa Senators$Pacific Tigers$Paris Eternal$Pawtucket Red Sox$Penn Quakers$Penn State Nittany Lions$Pepperdine Waves$Philadelphia 76ers$Philadelphia Eagles$Philadelphia Flyers$Philadelphia Fusion$Philadelphia Phillies$Philadelphia Union$Phoenix Coyotes$Phoenix Mercury$Phoenix Suns$Pittsburg State Gorillas$Pittsburgh Panthers$Pittsburgh Penguins$Pittsburgh Pirates$Pittsburgh Steelers$Portland Pilots$Portland Timbers$Portland Trail Blazers$Princeton Tigers$Providence Friars$Purdue Boilermakers$Queens Park Rangers$Radford Highlanders$Reading$Real Madrid CF$Real Salt Lake$Renegades$Reno Aces$Rhode Island Rams$Rice Owls$Richmond Spiders$Rochester Red Wings$Rogue$Round Rock Express$Rutgers Scarlet Knights$Sacramento Kings$Sacramento River Cats$Saint Louis Billikens$Saint Mary's Gaels$Salt Lake Bees$Sam Houston State Bearkats$San Antonio Missions$San Antonio Silver Stars$San Antonio Spurs$San Diego Chargers$San Diego Padres$San Diego State Aztecs$San Diego Toreros$San Francisco 49ers$San Francisco Giants$San Francisco Shock$San Jose Earthquakes$San Jose Sharks$San Jose State Spartans$Santa Clara Broncos$Scranton/Wilkes-Barre RailRiders$Seattle Mariners$Seattle Seahawks$Seattle Sounders FC$Seattle Storm$Seoul Dynasty$Seton Hall Pirates$Shanghai Dragons$SK Gaming$SK Telecom T1$SMU Mustangs$South Alabama Jaguars$South Carolina Gamecocks$South Dakota Coyotes$South Florida Bulls$Southampton$Southeastern Louisiana Lions$Southern Illinois Salukis$Southern Jaguars$Southern Mississippi Golden Eagles$Spain National Football Team$Splyce$Sporting KC$St. Cloud State Huskies$St. Louis Blues$St. Louis Cardinals$St. Louis Rams$Stanford Cardinal$Stephen F. Austin Lumberjacks$Stoke City$Sunderland$Swansea City$Syracuse Chiefs$Syracuse Orange$Tacoma Rainiers$Tampa Bay Buccaneers$Tampa Bay Lightning$Tampa Bay Rays$Tarleton State Texans$TCU Horned Frogs$Team Dignitas$Team Envy$Team Liquid$Temple Owls$Tennessee State Tigers$Tennessee Tech Golden Eagles$Tennessee Titans$Tennessee Volunteers$Texas A&M Aggies$Texas A&M University-San Antonio Jaguars$Texas Longhorns$Texas Rangers$Texas State Bobcats$Texas Tech Red Raiders$Texas-San Antonio Roadrunners$Toledo Mud Hens$Toledo Rockets$Toronto Blue Jays$Toronto Defiant$Toronto FC$Toronto Maple Leafs$Toronto Raptors$Tottenham Hotspur$Troy Trojans$Truman Bulldogs$TSM$Tulane Green Wave$Tulsa Golden Hurricane$Tulsa Shock$UC Davis Aggies$UCLA Bruins$UNC Wilmington Seahawks$United States Men's National Soccer Team$University of Alabama Birmingham Blazers$University of Central Florida Knights$University of Wisconsin-Stevens Point Pointers$UNLV Rebels$USC Trojans$UT Martin Skyhawks$Utah Jazz$Utah State Aggies$Utah Utes$UTEP Miners$UW Oshkosh Titans$Valparaiso Crusaders$Vancouver Canucks$Vancouver Titans$Vancouver Whitecaps FC$Vanderbilt Commodores$VCU Rams$Vegas Golden Knights$Vermont Catamounts$Villanova Wildcats$Virginia Cavaliers$Virginia Military Institute Keydets$Virginia Tech Hokies$Virtus.Pro$Wake Forest Demon Deacons$Washington Capitals$Washington Huskies$Washington Justice$Washington Mystics$Washington Nationals$Washington Redskins$Washington State Cougars$Washington Wizards$Weber State Wildcats$West Bromwich Albion$West Ham United$West Virginia Mountaineers$Western Carolina Catamounts$Western Illinois Leathernecks$Western Kentucky Hilltoppers$Western Michigan Broncos$Wichita State Shockers$Wigan Athletic$Winnipeg Jets$Winona State Warriors$Winthrop Eagles$Wisconsin Badgers$Wisconsin-Whitewater Warhawks$Wyoming Cowboys$Xavier Musketeers$Yale Bulldogs$Youngstown State Penguins
Arts & Crafts,"Fabrics, Yarn and Thread",Theme,"Arts & CraftsFabrics, Yarn and ThreadTheme",Abstract$Advertisements$Airplanes$American Flags$Americana$Anchors$Angels$Animals & Insects$Anime$Ants$Architecture$Atlas$Baby$Barbed Wire$Beach$Beetles$Beverage$Birds$Boats$Bones$Books$Buddha$Buildings$Business$Butterflies$Camping & Outdoors$Cars$Cartoons$Cat$Celebrity$Characters$Christmas Village$Cities$Comets$Comic Books$Comics$Commercials$Constellations$Construction$Cooking$Crosses$Cuisines$Culture$Daisies$Dance$Destinations$Dinosaurs$Dog$Dolls$Dragonflies$Dragons$Drawings$Encouragement$Equipment$Factories$Fall$Family$Fantasy$Farm & Rustic$Fish$Flowers$Folklore$Food$Fossils$Galaxies$Gaming$Gardens$Gnomes$God$Graffiti$Graphics$Hearts$Helicopters$Hobbies$Holidays$Horse$Houses$Humor$Illustrations$Industry$Insects$Inspirational$Jets$Knights$Ladybugs$Landscape$Letters$Lilies$Logos$Machines$Magazines$Magic$Manga$Maps$Medieval Period$Memorial & Remembrance$Monsters$Moons$Motivational$Movies$Murals$Music$Mythology$Nature$Nautical$Navigation$Nirvana$Novels$Novelty$Numbers$Ocean$Pastimes$Patriotic$People$Pets$Photography$Photorealistic$Phrases$Pirates$Places$Planets$Plants$Politics$Pop Culture$Prehistoric Period$Publications$Pumpkins$Racecars$Railroads$Religious$Restaurants$Retro$Roadways$Robots$Roller Coasters$Romance & Love$Roses$Royalty$Sailing$Sailors$Saints$Scenery$School$Seasons$Shadows$Ships$Sketches$Space$Spiders$Spiritual$Sports$Spring$Stars$Still Life$Streets$Summer$Sunflowers$Superheroes$Supervillains$Symbols$Televisions$Trains$Tulips$TV Shows$Typography$Underwater$Unicorns$Urban$Vehicles$Western$Wildlife$Winter$Words
Arts & Crafts,"Fabrics, Yarn and Thread",Yarn Weight,"Arts & CraftsFabrics, Yarn and ThreadYarn Weight",Bulky$Fine$Jumbo$Lace$Light$Medium$Size 1$Size 10$Size 100$Size 11$Size 12$Size 13$Size 14$Size 15$Size 16$Size 17$Size 18$Size 19$Size 2$Size 20$Size 21$Size 22$Size 23$Size 24$Size 25$Size 26$Size 27$Size 28$Size 29$Size 3$Size 30$Size 31$Size 32$Size 33$Size 34$Size 35$Size 36$Size 37$Size 38$Size 39$Size 4$Size 40$Size 41$Size 42$Size 43$Size 44$Size 45$Size 46$Size 47$Size 48$Size 49$Size 5$Size 50$Size 51$Size 52$Size 53$Size 54$Size 55$Size 56$Size 57$Size 58$Size 59$Size 6$Size 60$Size 61$Size 62$Size 63$Size 64$Size 65$Size 66$Size 67$Size 68$Size 69$Size 7$Size 70$Size 71$Size 72$Size 73$Size 74$Size 75$Size 76$Size 77$Size 78$Size 79$Size 8$Size 80$Size 81$Size 82$Size 83$Size 84$Size 85$Size 86$Size 87$Size 88$Size 89$Size 9$Size 90$Size 91$Size 92$Size 93$Size 94$Size 95$Size 96$Size 97$Size 98$Size 99$Super Bulky$Super Fine
