Category,PTG,Attributes,combi,Close_Value
Apparel,Full Body Garments,Clothing Style,ApparelFull Body GarmentsClothing Style,Activewear$Athleisure$Casual$Dressy$Loungewear$Outerwear$Skiwear$Snow Wear$Streetwear$Uniform$Workwear
Apparel,Full Body Garments,Clothing Top Style,ApparelFull Body GarmentsClothing Top Style,Bandeau$Blouse$Button Down$Camisole$Cardigan$Chemise$Cocoon$Crop$Embellished$Flounce$Full Zip$Graphic$Half Zip$Halter$High Low$Hoodie$Lace$Muscle$Peasant$Peplum$Poncho$Pullover$Quarter Zip$Raglan$Ringer$Ruffles$Sequin$Swing$Tank$Tube$Tunic$Vest$Wrap
Apparel,Full Body Garments,Clothing Weight,ApparelFull Body GarmentsClothing Weight,Heavy Weight$Lightweight$Mid Weight
Apparel,Full Body Garments,Collar Type,ApparelFull Body GarmentsCollar Type,Collarless$Notch Collar$Notched Lapel$Peak Lapel$Point Collar$Shawl Collar$Spread Collar$Standing Collar$Turn Down Collar$Waterfall Collar
Apparel,Full Body Garments,Color Category,ApparelFull Body GarmentsColor Category,Beige$Black$Blue$Bronze$Brown$Clear$Gold$Gray$Green$Multi-Color$Off-White$Orange$Pink$Purple$Red$Silver$White$Yellow
Apparel,Full Body Garments,Dress Style,ApparelFull Body GarmentsDress Style,A-Line$Ball Gown $Bodycon$Boho$Cocktail$Embellished$Evening Gown$Faux-Wrap $Fit & Flare $Maxi$Mermaid $Mini$Sheath $Shift $Shirt Dress$Skater $Slip Dress $Sun Dress $Sweater$T-Shirt$Tutu$Wrap
Apparel,Full Body Garments,Fabric Care Instructions,ApparelFull Body GarmentsFabric Care Instructions,Accept Wash Machine$Add A Neutral Detergent To Hand Wash$Avoid Over Exposure$Can Be Ironed$Close All Zippers Before Washing$Cold Water Washing$Cool Gentle Wash$Cool Iron If Needed$Cool Iron On Lowest Setting$Cool Iron On Reverse Side$Delicate Cycle$Do Not Bleach$Do Not Bleach And Dry Low$Do Not Bleach And Natural Dry$Do Not Dry Clean$Do Not Iron$Do Not Iron Decoration$Do Not Machine Wash$Do Not Rub Or Beat Strongly$Do Not Screw$Do Not Steam$Do Not Tumble Dry$Do Not Use Chlorine Bleach$Do Not Use Softener$Do Not Wring Or Twist$Drip Dry$Dry Clean$Dry Clean Only$Dry In The Air$Dry Low$Dry On Low Heat$Dry The Washed Clothes Naturally Before Use$Easy Iron$For Best Results Wash Your Clothes By Hand$For The Best Result Dry Clean$Gentle Clean$Gentle Cycle$Gentle Hand Wash$Gentle Hand Wash Or Machine Wash At Low Temperature$Gently Cycle$Gently Hand Wash In Cold Water $Hand Or Gentle Machine Wash In Cold Water$Hand Or Gentle Machine Wash In Cold Water$Hand Wash & Machine Wash In Cold Water$Hand Wash Better$Hand Wash By Low Temperature (Max 42°C)$Hand Wash Cold$Hand Wash Only$Hand Wash or Machine Wash$Hand Wash Separately In Cold Water$Hand Wash Seperately$Hand Washable$Hand Washed And Laid Flat To Dry Before Wearing$Hand-Wash And Machine Wash In Cold Water$Hang Dry And Then Gently Pat The Migrated Filler Back To Normal$Hang Or Line Dry$Hang To Dry$Hanging To Dry Is Recommended$Inside Out If Decorated$Iron Low$Iron Low When Needed$Iron On Lowest Setting$Iron Or Tumble Dry$Iron Or Use Hot Water$Iron With Press Cloth$Ironing And Dry Cleaning Are Not Recommended$Lay Flat To Dry$Line Dry$Line Dry In Shade$Low iron$Low Iron If Necessary$Low Temperature Hand Wash$Machine Dry$Machine Wash$Machine Wash And Dry On Low Dryer$Machine Wash Cold$Machine Wash Cold Gentle Cycle With Like Colors$Machine Wash Cold Inside Out$Machine Wash Cold Separately$Machine Wash Cold With Like Colors$Machine Wash Cold With No Bleach$Machine Wash Gentle$Machine Wash Inside Out$Machine Wash Inside Out With Like Colors$Machine Wash Only$Machine Wash or Dry Clean$Machine Wash Recommended With Low Temperature Water$Machine Wash Warm$Machine Wash Warm With Like Colors$Machine Washable$Medium Iron$Mild Detergent$No Need To Iron$No Tye Dye$Non-High Temperature Ironing$Only Non Cholrine$Only Non-Chlorine Bleach When Needed$Please Turn Your Clothes Over$Professional Dry Clean$Recommend Cold Water Washing Line$Recommend To Wash Inside Out With Cold Water$Regular Cycle With Warm Or Cold Water$Regular Wash$Remove Promptly$Reshape And Dry Flat$Reshape And Lay Flat To Dry$Suggest Washing Them By Hand$Take Out The Power Bank$Tumble Dry$Tumble Dry Gentle$Tumble Dry Low$Tumble Dry Low Remove Promptly$Tumble Dry Medium$Tumble Dry On Low Heat$Tumble Dry Or Hang Dry$Turn Garment Inside Out$Use A Mild Detergent And Wipe Dry$Use Chlorine Bleach$Use Cold Water Only$Use Detergent Only$Use Detergent Only$Use Mild Gentle Soap$Use Warm Iron When Needed$Use Wool Delicate Wash Cycle$Wash And Dry Inside Out$Wash And Dry It Inside Out With Like Colors Preferably With A Liquid Detergent$Wash Before Wear$Wash Dark Colors Separately$Wash Gentle Cycle Cold With Like Colors$Wash In A Laundry Bag$Wash In Cold Water By Hand Or Machine Wash$Wash In Cold Water Inside Out$Wash Inside Out According To Care Instructions Tag$Wash Separately In Cold Water$Wash Using Hot Water$Wash With Like Colors$Wash With Like Colors On A Warm Setting$We Recommend Line Dry$When Washing Colorful Clothes Please Wash Them Separately To Prevent Discoloration
Apparel,Full Body Garments,Fabric Content,ApparelFull Body GarmentsFabric Content,Acrylic$Adiprene$Alpaca$Angora$Bamboo$Broadcloth$Brocade$Canvas$Cashmere$Cashmere Blend$Chamois$Chenille$Chiffon$Corduroy$Cotton$Cotton Blend$Crepe$Denim$Down$Down Alternative$Enviro Guard$Faux Leather$Faux Silk$Faux Suede$Feather$Flannel$Fleece$French Terry$Gabardine$Gel$Gingham$Gore-Tex$Hemp$Hemp Blend$Jersey$Jute$Lace$Lame$Latex$Leather$Linen$Linen Blend$Merino Wool$Microfiber$Minky$Mohair$Muslin$Nitrile$Nylon$Olefin$Organdy$Organic Cotton$Organza$Ortholite$Pashmina$Percale$Polyester$Polyester Blend$Polyester Felt$Rayon$Rayon Blend$Sateen$Satin$Seersucker$Serge$Sherpa$Silk$Silk Blend$Spandex$Suede$Sunbrella$Synthetic$Synthetic Suede$Taffeta$Tencel$Terrycloth$Thermolite$Tricot$Tulle$Tweed$Twill$Ultrasuede$Velour$Velvet$Velveteen$Vicuna$Vinyl$Viscose$Wool$Wool Blend$Wool Felt
Apparel,Full Body Garments,Fastener Type,ApparelFull Body GarmentsFastener Type,Belt$Buckle$Button$Clasp$Clip$Drawstring$Flap$Hook & Eye$Loop$Magnet$Pull-On$Snap$Tie$Zipper
Apparel,Full Body Garments,Features,ApparelFull Body GarmentsFeatures,2-In-1$3-In-1$Abrasion Resistant$Antimicrobial$Breathable$Built In Bra $Built In Liner$Built In Pocket$Butt Lifting $Dri Fit$Durable$Easy Care$Elastic Waistband$Fade Resistant$Flame Resistant$Full Bust Support$Glow in the Dark$Heated$Hooded$Insulated$Interactive$Kid Tough$Knit Panel Sleeves$Lined For Warmth$Maternity Friendly$Moisture Wicking$Nursing$Odor Eliminating $Odor Resistant$Open Back $Packable$Pill Resistant$Pockets$Push Up$Quick Dry$Racerback $Reflective$Reinforced Knee$Reversible$Seamless$Shaping$Snag Resistant$Spf/Uv Protection $Stain Resistant $Stretchy$Super Soft$Tie Back $Tummy Control$Underwire$Water Resistant$Waterproof$Wind Resistant$Wrinkle Resistant
Apparel,Full Body Garments,Gender,ApparelFull Body GarmentsGender,Female$Male$Unisex
Apparel,Full Body Garments,Jacket Breasting Style,ApparelFull Body GarmentsJacket Breasting Style,Double-Breasted$Single-Breasted
Apparel,Full Body Garments,Jacket Length,ApparelFull Body GarmentsJacket Length,Cropped$Long$Mid-Length$Short
Apparel,Full Body Garments,Jacket Style,ApparelFull Body GarmentsJacket Style,Anorak$Blazer$Bomber$Cape$Cardigan$Denim$Duster$Fleece$Motorcycle$Open Front$Overcoat $Parka$Peacoat$Performance$Puffer$Pullover$Quilted$Raincoat$Sherpa$Ski$Sport$Suit$Teddy$Track$Trenchcoat$Trucker$Tuxedo$Utility$Varsity$Windbreaker
Apparel,Full Body Garments,Occasion,ApparelFull Body GarmentsOccasion,15th Birthday$16th Birthday$18th Birthday$1st Birthday$21st Birthday$30th Birthday$30th Wedding Anniversary$40th Birthday$50th Birthday$50th Wedding Anniversary$70th Birthday$90th Birthday$Adoption Shower$After Five$Afternoon$All Occasion$Anniversary$Anytime$April Fool'S Day$Ash Wednesday$Australian Open$Baby Birth$Baby Shower$Bachelor Party$Bachelorette Party$Back-To-School$Ball$Baptism$Bastille Day$Bcs Bowl$Birthday$Birthday Cake$Birthday Dinner$Bowl Games$Bridal Occasion$Bridal Party$Bridal Shower$Brunch$Business$Career$Casual$Chinese New Year$Christian Occasion$Christmas$Cinco De Mayo$Class$Club$Cocktail$College Graduation$College Reunion$Columbus Day$Company$Condolence$Congratulations$Cotton Bowl$Couples Shower$Daily Living$Dance Party$Date Night$Day Of The Dead$Day To Night$Daytime$Debutante Ball$Dinner Party$Diwali$Dog Birthday$Dress Casual$Earth Day$Easter$Eid Al-Fitr$Engagement$Euro Cup$Evening$Everyday$F1 Racing$Family$Farewell$Father's Day$Festival$First Communion$Formal Occasion$Fourth Of July$Funeral$Ganesh Chaturthi$Get Well$Going Out$Graduation$Groundhog Day$Halloween$Hanukkah$High Holidays$High School Dance$High School Graduation$High School Reunion$Hindu Holidays$Holi$Holiday$Homecoming$Honeymoon$Housewarming$International Women'S Day$Islamic Holiday$Jewish Holidays$Joint Birthday$Junior Prom$Just Because$Just Married$Kwanzaa$Labor Day$Leisure$Lent$Luau$March Madness$Mardi Gras$Martin Luther King Day$Masters Tournament$Memorial Day$Mother's Day$Nascar$National Teacher Appreciation Day$Nativity$Nba Finals$New Years$Nightclub$Office$Oktoberfest$Olympic Games$Orange Bowl$Orthodox Christmas$Oscar Party$Palm Sunday$Party$Passover$Pga Championship$President'S Day$Pride Day$Prom$Promise$Purim$Quinceneara$Racing$Ramadan$Rehearsal Dinner$Religious Occasion$Retirement$Reunion$Rose Bowl$Rosh Hashanah$Rugby World Cup$School Dance$School Occasion$Seasonal$Semi Formal$Senior Prom$Sleepover$Slumber Party$Special Occasion$Sporting Event$Spring Break$Spring Formal$Spring Training$St. Patrick's Day$Stanley Cup$Stock Car Racing$Street Racing$Sugar Bowl$Summer Olympics$Sympathy$Thank You$Thanksgiving$The British Open Championship$Training$Twin Baby Shower$U.S. Open Championship$Valentine's Day$Veteran'S Day$Wedding$Wedding Reception$Wedding Rehearsal$Wedding Shower$Weekend$Wimbledon$Winter Olympics$Work$Work Party$World Cup$World Series$World Series Party$World Series Viewing Party$Yom Kippur
Apparel,Full Body Garments,Pant Leg Cut,ApparelFull Body GarmentsPant Leg Cut,Bootcut$Cropped$Cropped Flare$Flare-Leg$Slim Bootcut$Slim Straight$Slim-Leg$Straight-Leg$Taper$Wide-Leg
Apparel,Full Body Garments,Pant Length,ApparelFull Body GarmentsPant Length,7/8Th$Ankle $Cropped$Full$Long$Short
Apparel,Full Body Garments,Pant Style,ApparelFull Body GarmentsPant Style,Boyfriend$Capris$Cargo$Carpenter$Casual$Chinos$Compression$Convertible$Culottes$Dress$Flat Front$Girlfriend$Harem$Jegging$Jodhpur$Joggers$Khakis$Legging$Palazzo$Pleated$Regular$Suit Slacks$Track Pants$Trousers
Apparel,Full Body Garments,Pattern,ApparelFull Body GarmentsPattern,Abstract$Airplane$Alphabet$American$Americana$Anaconda$Animal$Animal Print$Animation$Anime$Antique Print$Arabesque$Argyle$Army Camouflage$Art Deco$Art Nouveau$Artisan Print$Asian$Automobile$Aztec$Baby$Balloons$Bamboo$Barcode$Baseball$Basketball$Basketweave$Batik$Beach$Beach Pattern$Bear$Bear Paw$Beveled$Bike$Bird$Bird Eye$Birds$Birthday$Black And White$Boat$Bohemian$Border Tartan$Bordered$Botanical$Bow$Brick$Brocade$Brushstroke$Brushstroke-Inspired Print$Bubbles$Buffalo Check$Butterflies$Butterfly$Camo$Camouflage$Candy Stripe$Cars$Cartoon$Cat$Celtic$Checked$Checkerboard$Checkered$Cheetah$Cherry Blossom$Chevron$Chicken$Chintz$Circles$Coastal$Cobra$Coffee$Collage$Collegiate & Sports$Colorblock$Conversational$Coral$Country Flags$Crocodile Print$Crossbones$Crown$Dalmation$Damask$Dance$Decorative$Desert Camouflage$Diamond$Distressed$Dog$Dogs$Dot-Print$Dotted Swiss$Double-Striped$Dragonfly$Eagle$Eiffel Tower$Embroidered$Embroidery$Equestrian-Print$Ethnic$Evil Eye$Exotic Print$Fantasy$Faux Grasscloth$Fish$Flag$Flags Of The World$Flame$Flamingo$Flecked$Fleur-De-Lis$Floral$Floral & Nature$Floral / Flower$Floral Print$Flower$Flowers$Foliage$Food$Football$Fruit$Garden$Geometric$Geometric Shapes$Geometrical$Gingham$Gingham Check$Giraffe$Glen Plaid$Glitter Ombre$Global$Golf$Graffiti$Graph Check$Graphic$Graphic Design$Graphic Print$Graphic Prints$Graphics$Grasscloth$Greek Key$Grid$Guitar$Gymnastics$Halloween$Harlequin$Hawaiian$Hawk$Heart$Hearts$Heart-Shaped$Helicopter$Herati$Herringbone$Hockey$Holiday$Honeycomb$Horizontal Stripe$Horse$Houndstooth$Hunting Decor$Hyacinth$Ikat$Indian$Insect$Inspirational$Ivy$Kerchief$Kids$Lace$Lace-Striped$Ladybug$Landscape$Lattice$Latticework$Leaf$Leaves$Leopard$Letter$Lizard$Logo$Madras$Mandala$Medallion$Mini-Check$Monkey$Monogram$Monogrammed$Monster$Moon$Moroccan$Mosaic$Motif$Motorcycle$Motorcycles$Movie$Multi Plaid$Multicolor$Naturalistic$Nature$Nature Print$Nautical$Nautical & Tropical$Novelty$Numbers$Ocean$Ombre$Oriental$Ornamental$Ornate$Ostrich$Outer Space$Owl$Paisley$Paisley & Damask$Panamanian$Panda$Patchwork$Patriotic$Peace Sign$Peacock$Persian$Pin Check$Pin Stripes$Pinstripe$Pique Stripe$Plaid$Plaid & Check$Plaid / Stripes$Plaids$Plain$Planet$Plangi$Politcal$Polka Dots$Pop Art$Primitive Art$Print$Printed$Pumpkin$Python$Quilted$Quotes$Quotes & Sayings$Rainbow$Reindeer$Religious$Reptile$Retro$Ribbed$Rocket$Rooster$Rose$Ruffle$Ruffled$Rugby$Santa Claus$Scenic$Screen Print$Script$Scroll$Sealife$Seasonal/Holiday$Sequin$Serpentine Stripe$Serpentine Stripes$Shapes$Silhouette$Ski$Skull$Snake Print$Snowboard$Snowflake$Snowman$Soccer$Solar System$Solid$Solid Print$Southwest$Southwestern$Speckle$Speckled$Sports$Squiggle$Star$Stars$Stone$String$Stripe$Striped$Stripes$Sun$Swirl$Tartan$Tattersall$Tennis$Text$Texture$Texture / Embroidery$Textured$Textures$Tie-Dye$Tiger$Toile$Tonal Grid$Tonal Plaid$Tonal Stripe$Traditional$Tree Stump$Trefoil$Trellis$Tribal$Tritik$Tropical$Tulip$Turkish$Tuxedo Stripe$Two-Tone$Unicorn$Universities & Collages$Vehicle$Vertical Stripes$Volleyball$Water Color$Wave$Weaves$Welcome Flags$White Leopard$Wildlife$Windowpane$Wine$Wood$Wood-Grain$Wrestling$Zebra$Zebra Stripe$Zig Zag
